"species","decimalLatitude","decimalLongitude","family","a_habit","habitat_iucn","habitat_name"
"Barleria submollis",-4.90611,35.1914,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria ramulosa",-3.40444,36.5044,"Acanthaceae","shrub",305,"Shrubland – Subtropical/tropical dry"
"Barleria taitensis",-4.48333,38.5333,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria submollis",-4.93138,35.2264,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria ramulosa var. dispersa",-2.81222,36.2217,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria ventricosa",-7.42528,36.7283,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria volkensii",-3.4,36.1,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria granarii",-7,36.3833,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria prionitis",-5.53333,38.6333,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria prionitis",-5.53333,38.6333,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria ventricosa",-5.02,34.96,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria submollis",-2.68333,36.7,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Barleria setigera",-6.65,39.2333,"Acanthaceae","shrub",909,"Marine Neritic – Seagrass"
"Barleria setigera",-6.78333,39.2833,"Acanthaceae","shrub",1405,"Artificial – Urban Areas"
"Barleria ramulosa",-3.10527,36.6989,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria maculata",-4.08333,37.7167,"Acanthaceae","shrublet",1401,"Artificial – Arable Land"
"Barleria amanensis",-4.91667,38.7,"Acanthaceae",NA,109,"Forest – Subtropical/tropical moist montane"
"Barleria prionitis",-8.35,38.9333,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria lukwangulensis",-7.13333,37.6333,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria submollis",-3.4,36.8333,"Acanthaceae","herb",305,"Shrubland – Subtropical/tropical dry"
"Barleria prionitis",-5.1,38.6167,"Acanthaceae","shrub",106,"Forest – Subtropical/tropical moist lowland"
"Barleria ventricosa",-4.85417,34.8653,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria ventricosa",-4.92361,35.1333,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria calophylloides",-4.86722,35.1797,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria ventricosa",-5.05278,34.9139,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria volkensii",-3.36611,36.1472,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria grandicalyx",-4.12694,35.9261,"Acanthaceae","herb",202,"Savanna – Moist"
"Barleria hirta",-5.01667,38.7667,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria prionitis",-6.03333,38.7833,"Acanthaceae","shrub",507,"Wetlands (inland) – Permanent freshwater marshes/pools (<8 ha)"
"Barleria stuhlmannii",-3.27944,36.5317,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Barleria calophylloides",-4.88472,35.1819,"Acanthaceae","herb",305,"Shrubland – Subtropical/tropical dry"
"Barleria setigera",-6.66666,39.25,"Acanthaceae","shrub",908,"Marine Neritic – Coral Reef"
"Barleria stuhlmannii",-4.84722,34.8528,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria scandens",-6.36667,36.9333,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria amanensis",-7.16667,37.5167,"Acanthaceae",NA,106,"Forest – Subtropical/tropical moist lowland"
"Barleria acanthoides",-3.38888,36.7906,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria scandens",-6.90583,36.575,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria eranthemoides",-2.73,36.6931,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria laceratiflora",-9.98333,39.75,"Acanthaceae","shrublet",201,"Savanna – Dry"
"Barleria calophylloides",-4.90972,34.9861,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria ventricosa",-4.36027,37.8997,"Acanthaceae","shrub",1403,"Artificial – Plantations"
"Barleria ramulosa",-4.36027,37.8989,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria prionitis",-9.07166,39.1625,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria amanensis",-5.06667,38.6333,"Acanthaceae",NA,109,"Forest – Subtropical/tropical moist montane"
"Barleria amanensis",-8.68333,36.7167,"Acanthaceae",NA,1405,"Artificial – Urban Areas"
"Barleria eranthemoides",-2.98833,35.3489,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria ventricosa",-4.85417,34.8653,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria spinulosa",-7.03806,30.9889,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Barleria scandens",-7.09833,36.6225,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria holstii",-8.31583,38.9608,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria volkensii",-3.28667,36.4186,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria volkensii",-4.36944,37.8917,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria aristata",-7.53333,36.4667,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria setigera",-6.66666,39.25,"Acanthaceae","shrub",908,"Marine Neritic – Coral Reef"
"Barleria setigera",-6.66666,39.25,"Acanthaceae","shrub",908,"Marine Neritic – Coral Reef"
"Barleria submollis",-2.73,36.6931,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria setigera",-6.78333,39.2833,"Acanthaceae","shrub",1405,"Artificial – Urban Areas"
"Barleria lukwangulensis",-8.66667,35.25,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria grandicalyx",-2.67277,36.7289,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria grandicalyx",-8.91666,34.0833,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria lugardii",-5.23056,34.6819,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria ventricosa",-4.99444,34.8569,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria setigera",-6.66666,39.25,"Acanthaceae","shrub",908,"Marine Neritic – Coral Reef"
"Barleria calophylloides",-4.92361,35.1333,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria setigera",-6.81666,39.4,"Acanthaceae","shrub",108,"Forest – Subtropical/tropical swamp"
"Barleria ventricosa",-4.84861,34.9292,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria spinulosa",-9.04277,39.14,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria eranthemoides",-2.72,36.7128,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria volkensii",-3.5,35.75,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria nyasensis",-8.94,34.1556,"Acanthaceae","shrub",202,"Savanna – Moist"
"Barleria nyasensis",-8.87389,34.1547,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria tanzaniana",-9.04,39.3336,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria scandens",-6.08333,37.5167,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria inclusa",-4.88472,35.0222,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria ventricosa",-2.92306,36.2211,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria submollis",-10.1372,39.1936,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria prionitis",-7.16666,37.8167,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria ventricosa",-4.84306,34.8694,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria maculata",-4.06667,37.7333,"Acanthaceae","shrublet",201,"Savanna – Dry"
"Barleria scandens",-6.05,37.4667,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Barleria volkensii",-2.93333,35.8167,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria ventricosa",-5.24167,34.6833,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria ventricosa",-5.01667,34.7333,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria prionitis",-6.13361,38.6386,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria setigera",-6.81667,39.2667,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria grantii",-5.85,35,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria calophylloides",-8.77,34.43,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria ventricosa",-6.08,37.42,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria spinulosa",-8.77,34.35,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria richardsiae",-7.47,30.82,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria aenea",-7.47,30.75,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria aristata",-7.62,36.32,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria lactiflora",-8.97,32.48,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Barleria boehmii",-6.12,30.93,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria richardsiae",-8.43,31.5,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria grandipetala",-5.43,30.5,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria taitensis",-5.52,35.85,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria fulvostellata",-7.67,37.92,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria calophylloides",-6.12,30.93,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria splendens",-5.78,35,"Acanthaceae","shrub",1404,"Artificial – Rural Gardens"
"Barleria calophylloides",-5.23,32.72,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria marginata",-7.17,38.33,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria lactiflora",-8.43333,33.2167,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Barleria spinulosa",-9.16667,34.25,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria calophylloides",-7.48333,30.9667,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria boehmii",-6.31667,31.0167,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria grandipetala",-5.4,30.4667,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria grandipetala",-6.76667,32.0833,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis chrysotricha",-6.35,36.4833,"Acanthaceae","shrub",1405,"Artificial – Urban Areas"
"Blepharis grandis",-8.83333,33.6667,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis panduriformis",-6.23333,36.3333,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Blepharis refracta",-8.58333,37.2667,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis buchneri",-6.23333,29.8,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis edulis",-2.71667,36.7,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Blepharis stuhlmannii",-2.5,32.8167,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis stuhlmannii",-2.9,31.1833,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis stuhlmannii",-2,34.4,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis longifolia",-8.85,34.6333,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis buchneri",-4.78333,32.7333,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis involucrata",-4.98333,32.9,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis involucrata",-5.68333,34.8,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis involucrata",-5.86667,35.05,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis stuhlmannii",-1.68333,33.6833,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis affinis",-6.8,39.25,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis grandis",-9.28333,33.6167,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Blepharis inopinata",-6.83333,30.9333,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis trispina",-5.8,34.9167,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis longifolia",-7.25,37.1667,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis maderaspatensis",-7.75,38.2333,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis affinis",-6.96,39.5033,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis longifolia",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis longifolia",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis grandis",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis grandis",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis affinis",-6.1,37.4167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis maderaspatensis",-7.98166,36.5144,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis longifolia",-8.9,33.2,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis katangensis",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis grandis",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis katangensis",-4.94722,35.1786,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis longifolia",-7.28333,37.2,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis affinis",-10.5833,35.8333,"Acanthaceae","herb",202,"Savanna – Moist"
"Blepharis stuhlmannii",-5.03917,34.3452,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis grandis",-4.89138,32.7569,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis affinis",-7.87861,39.0536,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis buchneri",-7.95,31.5833,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis buchneri",-4.6775,29.6217,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis maderaspatensis",-3.22583,35.9197,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis maderaspatensis",-4.96417,38.7858,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Blepharis panduriformis",-4.9525,35.2281,"Acanthaceae","herb",202,"Savanna – Moist"
"Blepharis maderaspatensis",-4.87138,35.3367,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis panduriformis",-4.85972,35.3364,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis affinis",-9.11777,39.1472,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis stuhlmannii",-4.63166,36.0705,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis affinis",-10.3667,38.7667,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis katangensis",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis maderaspatensis",-8.25,34.8333,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Blepharis affinis",-6.53333,39,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis affinis",-7.66666,39.2833,"Acanthaceae","herb",405,"Grassland – Subtropical/tropical dry"
"Blepharis maderaspatensis",-5,34.6778,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis affinis",-6.76666,38.5,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis ilicifolia",-8.6,35.2333,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Blepharis tanzaniensis",-8.95,39.3189,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis affinis",-6.63333,39.2,"Acanthaceae","herb",909,"Marine Neritic – Seagrass"
"Blepharis affinis",-6.8,39.25,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis maderaspatensis",-4.68472,35.1319,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis grandis",-8.78333,33.25,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis affinis",-6.8,39.25,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis affinis",-9.06055,39.1405,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis katangensis",-8.78333,33.25,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis affinis",-6.96666,38.8333,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis affinis",-6.8,39.25,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis maderaspatensis",-3.23333,36.8833,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Blepharis affinis",-6.8,39.25,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis linariifolia",-4.63166,36.0705,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis affinis",-6.9,39.1833,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis affinis",-8.58833,39.2603,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis edulis",-2.73,36.6931,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis affinis",-6.58333,39.1333,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis katangensis",-6.63305,31.1472,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis maderaspatensis",-4.80277,35.0153,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis maderaspatensis",-5.24166,34.6833,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis maderaspatensis",-4.85166,34.9097,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis affinis",-6.2,38.7,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis longifolia",-7.81472,33.7,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Blepharis panduriformis",-4.80278,35.0153,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Blepharis affinis",-10.9167,38.1667,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis affinis",-7.25,37.0833,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis maderaspatensis",-6.90166,31.1642,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis buchneri",-4.65305,29.6258,"Acanthaceae","herb",505,"Wetlands (inland) – Permanent freshwater lakes (>8 ha)"
"Blepharis affinis",-6.46666,38.7333,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis affinis",-6.8,39.25,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Blepharis grandis",-9.76666,34.5167,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Blepharis affinis",-6.76666,38.9167,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis affinis",-6.96666,38.8333,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Blepharis affinis",-7.66666,39.2833,"Acanthaceae","herb",405,"Grassland – Subtropical/tropical dry"
"Blepharis affinis",-7.83333,39.3333,"Acanthaceae","herb",1200,NA
"Blepharis affinis",-7.4,39.3333,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis affinis",-6.76666,38.9167,"Acanthaceae","herb",201,"Savanna – Dry"
"Blepharis buchneri",-4.66666,29.6167,"Acanthaceae","herb",505,"Wetlands (inland) – Permanent freshwater lakes (>8 ha)"
